message_id,text_raw_masked,text_normalized,label,has_url,url_count,source,real_or_synthetic,group_id,similarity_group_id,split
msg-c3a7447e038aacfc0b56,[LG U+] 변경된 번호로 개통 중입니다. 최대 3분 정도 소요되오니 이후 단말기를 껐다가 켜시기 바랍니다.,[lg u+] 변경된 번호로 개통 중입니다. 최대 3분 정도 소요되오니 이후 단말기를 껐다가 켜시기 바랍니다.,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-a1437e0c2dd79aa3006d,sim-e43a195ac2dad1a00ad7,train
msg-bc0029304fb701ec798c,[**시](군위41의성87청송51영양19영덕68청도73고령86성주64칠곡274예천129봉화48울진96울릉8)행동요령참조[URL],[**시](군위41의성87청송51영양19영덕68청도73고령86성주64칠곡274예천129봉화48울진96울릉8)행동요령참조[url],normal,1,1,jmjmjm3/kor-smishing-message,unknown,grp-7b044ab4002e1a98619b,sim-94f7f5bf1892a2df4a60,train
msg-813e545e454d84c4d75f,"[**시광역시] 8월 26일 0시 확진자 5,317명(달서구1129,북구944,수성구886,동구779,달성군627,남구309,서구296,중구171,타지역176)","[**시광역시] 8월 26일 0시 확진자 5,317명(달서구1129,북구944,수성구886,동구779,달성군627,남구309,서구296,중구171,타지역176)",normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-6d0f855575745ec1f3c8,sim-0b72991715846571f6d3,train
msg-3378ffc63eeaaef27b5f,"[Web발신]
[삼성닷컴] 본인확인 인증번호[[NUMBER]]를 화면에 입력해주세요 VBTO76V+sQ0",[web발신] [삼성닷컴] 본인확인 인증번호[[number]]를 화면에 입력해주세요 vbto76v+sq0,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-6f686fe1d86f5dcdd138,sim-0a1df0ccdfd39efc3ab1,test
msg-e94fec8af385dc5ff556,"[Web발신]
genie 인증번호 : [NUMBER] 입니다.
인증번호를 입력해주세요.",[web발신] genie 인증번호 : [number] 입니다. 인증번호를 입력해주세요.,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-1e8b0ed0c930fa70f2ca,sim-cc8bcafb7a34bd6dc27f,train
msg-c2d5b5264561f4b78f9c,"[Web발신]
[한국모바일인증(주)]본인확인 인증번호[[NUMBER]]입니다. ""타인 노출 금지""","[web발신] [한국모바일인증(주)]본인확인 인증번호[[number]]입니다. ""타인 노출 금지""",normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-43e7e69a65c251c59708,sim-b55dbc9021cfeff39e32,train
msg-a49f5f749921748f3f88,"[Web발신]
[네이버] 인증번호 [[NUMBER]]를 입력해 주세요.",[web발신] [네이버] 인증번호 [[number]]를 입력해 주세요.,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-02c803d4de07731e3c8a,sim-16e7bd89c8da63c708b9,train
msg-e395baa51463221daebc,"[Web발신]
[3355] 카카오 T에서 보내는 인증번호입니다. MJaUe/yY/3A",[web발신] [3355] 카카오 t에서 보내는 인증번호입니다. mjaue/yy/3a,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-4bb1f886a1d62002013e,sim-099023c0564c06a15fd6,train
msg-955626d514959dfe2067,"[Web발신]
[당근마켓] 인증번호 [[NUMBER]] *타인에게 절대 알리지 마세요. (계정 도용 위험)
g7lQnhQYPIv",[web발신] [당근마켓] 인증번호 [[number]] *타인에게 절대 알리지 마세요. (계정 도용 위험) g7lqnhqypiv,normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-f9408b8afaa0d5536ece,sim-1cfe98a3691049001226,validation
msg-6ffdc99b088da3446d71,"[중앙재난안전대책본부] 태풍이 북상중입니다. 외출을 자제해주시고, 안전한 장소에 머물러 주시기 바랍니다. 바람에 날아갈 수 있는 간판, 화분 등은 고정 바랍니다.","[중앙재난안전대책본부] 태풍이 북상중입니다. 외출을 자제해주시고, 안전한 장소에 머물러 주시기 바랍니다. 바람에 날아갈 수 있는 간판, 화분 등은 고정 바랍니다.",normal,0,0,jmjmjm3/kor-smishing-message,unknown,grp-67bffed9362e857811fb,sim-497830840cebf3b6fa82,train
