message_id,split,attack_type,text_normalized
msg-cd74555c5078c89aa225,train,messenger_phishing,엄마 나 폰이 망가져서 수리맡기고 컴퓨터 문자나라로 메시지 보내고 있어 엄마 지금 바뻐?
msg-2a7f43ae7fa422fefb9b,train,messenger_phishing,엄마 입금받을수있는 은행계좌번호 하나랑 계좌등록 본인인증땜에 계좌 4자리 비밀번호까지 보내줘
msg-e3ec894bf4e93e8c550e,train,messenger_phishing,엄마 바빠?나지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놧던 문자나라로 문자하고 있어 피씨용이라 문자만 가능해 부탁이 있어서 문자했어 엄마 확인하는대로 답장줘
msg-de71a057d4f9829964ce,test,messenger_phishing,엄마~ 바빠? 엄마 나 급한 일이 좀 생겨서... 지금 98만원만 입금해 줄 수 있어?+c6
msg-670af57abde3790ae1ea,validation,messenger_phishing,엄마 나 폰고장나서 수리 맡기고 문자나 가입한거로 문자하고 있어 피씨용이라 문자만가능해 문자줘 아냐 떨어뜨려서 ᅲᅲ 엄마 다름아니라 지금 상품권좀필요한데 엄마 대신먼저 구매해줄수있어? 나지금 밖에 나갈수없는 상황이라 그래 구글기프트권이라고 있는데 이마트나 홈플러스 편의점 가면 구매할수있는데 엄마 지금 다녀올수있어?
msg-efd9fc3fa5aed3568aff,train,messenger_phishing,엄마 나 핸드폰 고장나서 서비스 맡기고 문자나라 접해서 문자하는거야 문자보면 답줘! 부탁이 있어 그러는데 엄마 지금 잠간 편의점 갓다올수 잇어? ᄏᄏ 엄마 돈 좋아해 ?
msg-fc0286653fb100798da2,train,messenger_phishing,[web 발신] 아빠 나지금폰 액정나가서 않되 [phone] 이번호로 톡추가 하고 톡줘 통화안되
msg-891bb14bf560270521ca,train,messenger_phishing,엄마 나 핸드폰 고장나서 수리맡기고 컴터로 새카톡만들엇어~ 010 ???????? 이번호로 카톡추가하고 톡줘~
msg-75bccb25272a125ae624,train,messenger_phishing,엄마 바빠? 나 지금 핸드폰 고장나서 매장에 수리맡기고 급한대로 예전에 내명의로 가입해놨던 문자나라로 문자하고있어 피씨용이라 문자만 가능해 부탁이있어서 문자했어 엄마 확인하는대로 답장줘
msg-997eb3a14a1fce9c47e2,validation,messenger_phishing,엄마 나 지금 휴대폰 액정깨져서 as맡기고 컴퓨터로 카톡접속햇어 바빠? 보이스톡 해요 0:16 소리하나도 안드려 컴퓨터로해서 그런가봐 문자로해줘 엄마 ! 선배일땜에 급해서 그래 어제 선배한테 받은돈 있는데 선배가 급하게 다시 보내달라고해서 내껄로 하려고 하니깐 인증서 오류떠서 안돼 은행에 문의 햇는데 월요일이체 가능하대 월요일오전에 다시 보낼게 먼저 선배쪽으로 이체좀 해줄수잇어? 원룸보증금이라 금액이 좀커서 그래 600만원이야
