message_id,split,label,target,has_url,text_utf8_bytes,text_normalized
msg-c3a7447e038aacfc0b56,train,normal,0,0,137,[lg u+] 변경된 번호로 개통 중입니다. 최대 3분 정도 소요되오니 이후 단말기를 껐다가 켜시기 바랍니다.
msg-bc0029304fb701ec798c,train,normal,0,1,137,[**시](군위41의성87청송51영양19영덕68청도73고령86성주64칠곡274예천129봉화48울진96울릉8)행동요령참조[url]
msg-813e545e454d84c4d75f,train,normal,0,0,155,"[**시광역시] 8월 26일 0시 확진자 5,317명(달서구1129,북구944,수성구886,동구779,달성군627,남구309,서구296,중구171,타지역176)"
msg-3378ffc63eeaaef27b5f,test,normal,0,0,106,[web발신] [삼성닷컴] 본인확인 인증번호[[number]]를 화면에 입력해주세요 vbto76v+sq0
msg-e94fec8af385dc5ff556,train,normal,0,0,88,[web발신] genie 인증번호 : [number] 입니다. 인증번호를 입력해주세요.
msg-c2d5b5264561f4b78f9c,train,normal,0,0,108,"[web발신] [한국모바일인증(주)]본인확인 인증번호[[number]]입니다. ""타인 노출 금지"""
msg-a49f5f749921748f3f88,train,normal,0,0,71,[web발신] [네이버] 인증번호 [[number]]를 입력해 주세요.
msg-e395baa51463221daebc,train,normal,0,0,81,[web발신] [3355] 카카오 t에서 보내는 인증번호입니다. mjaue/yy/3a
msg-955626d514959dfe2067,validation,normal,0,0,127,[web발신] [당근마켓] 인증번호 [[number]] *타인에게 절대 알리지 마세요. (계정 도용 위험) g7lqnhqypiv
msg-6ffdc99b088da3446d71,train,normal,0,0,220,"[중앙재난안전대책본부] 태풍이 북상중입니다. 외출을 자제해주시고, 안전한 장소에 머물러 주시기 바랍니다. 바람에 날아갈 수 있는 간판, 화분 등은 고정 바랍니다."
msg-9fa381091726d670cecd,train,normal,0,0,214,"[경상북도청] 태풍 대비하여 오늘 오후부터 가급적 외출 및 활동을 자제하시고 산사태, 저지대 등 위험한 지역에 계시는 분은 미리 안전한 곳으로 대피 바랍니다."
