message_id,text_raw_masked,text_normalized,label,has_url,url_count,source,real_or_synthetic,group_id,source_record_id,source_case_type,source_theme,sender_type,delivery_channel,target_device,license,watermark_removed,nearest_existing_similarity,nearest_existing_split,nearest_existing_message_id,training_eligible,split,similarity_group_id
krmob-d0c0a62a61f4950a4599,[금융안내] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 모든 금융거래가 제한되오니 아래 공식 홈페이지에서 갱신하시기 바랍니다. [URL],[금융안내] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 모든 금융거래가 제한되오니 아래 공식 홈페이지에서 갱신하시기 바랍니다. [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-005,inc-MOB-BEN-005:1,benign,인증서 갱신/만료 사칭,verified_sender,SMS,iOS-DEV-9921,CC BY-NC 4.0,1,0.152889,test,msg-52f57e84638c37bc1c85,1,train,krmob-inc-MOB-BEN-005
krmob-6c59b2d5b91dd7d00667,[정부지원센터] 2025년 상반기 미수령 지원금 환급 안내. 귀하의 미수령액이 발생하였습니다. 금일 18시 기한 마감 예정이오니 확인 바랍니다. 상세내용: [URL],[정부지원센터] 2025년 상반기 미수령 지원금 환급 안내. 귀하의 미수령액이 발생하였습니다. 금일 18시 기한 마감 예정이오니 확인 바랍니다. 상세내용: [url],normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-007,inc-MOB-BEN-007:1,benign,정부지원금/환급금 사칭,verified_sender,SMS,Android,CC BY-NC 4.0,1,0.135644,train,msg-7d87098e9bf6a069ebe5,1,train,krmob-inc-MOB-BEN-007
krmob-e457419adb4fea55d138,[금융보안] 필수 보안 업데이트 안내: 최근 급증하는 금융 사기 방지를 위해 이용 중이신 금융 앱의 최신 보안 패치가 출시되었습니다. 미업데이트 시 서비스 이용이 제한될 수 있습니다. 설치: [URL],[금융보안] 필수 보안 업데이트 안내: 최근 급증하는 금융 사기 방지를 위해 이용 중이신 금융 앱의 최신 보안 패치가 출시되었습니다. 미업데이트 시 서비스 이용이 제한될 수 있습니다. 설치: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-008,inc-MOB-BEN-008:1,benign_lookalike,모바일 금융앱 업데이트 사칭,personal_number,SMS,Android/iOS,CC BY-NC 4.0,1,0.148049,test,msg-0d52b431fcb3c89b5971,1,train,krmob-inc-MOB-BEN-008
krmob-85997d49edfcaecf8cc0,주소 불일치로 인해 물품 배송이 중단되었습니다. 오늘 20시까지 주소 확인이 되지 않으면 반송 처리됩니다. 확인: [URL],주소 불일치로 인해 물품 배송이 중단되었습니다. 오늘 20시까지 주소 확인이 되지 않으면 반송 처리됩니다. 확인: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-009,inc-MOB-BEN-009:1,benign_lookalike,택배/배송 실패 사칭,personal_number,SMS,iOS-DEV-9901,CC BY-NC 4.0,1,0.242349,train,msg-b569cbcd457054840fc1,1,train,krmob-inc-MOB-BEN-009
krmob-67fb375994f6bfea534a,[공지] 2025년 하반기 채용 합격을 축하드립니다. 서류 제출 기한은 금일 20시까지입니다. 미제출 시 합격이 취소될 수 있으니 반드시 확인 바랍니다. 확인: [URL],[공지] 2025년 하반기 채용 합격을 축하드립니다. 서류 제출 기한은 금일 20시까지입니다. 미제출 시 합격이 취소될 수 있으니 반드시 확인 바랍니다. 확인: [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-010,inc-MOB-BEN-010:1,benign_lookalike,채용/면접 결과 사칭,personal_number,SMS,Android,CC BY-NC 4.0,1,0.17809,test,msg-6cc91b9bb363bab6f958,1,train,krmob-inc-MOB-BEN-010
krmob-d0d0cb8468758c3388d1,[긴급] 채용 서류 보완 요청: 주민등록초본 및 가족관계증명서 누락. 하단 링크에서 본인인증 후 업로드하세요. [URL],[긴급] 채용 서류 보완 요청: 주민등록초본 및 가족관계증명서 누락. 하단 링크에서 본인인증 후 업로드하세요. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-010,inc-MOB-BEN-010:2,benign_lookalike,채용/면접 결과 사칭,personal_number,SMS,iOS,CC BY-NC 4.0,1,0.183232,train,msg-9b3216ac98b3e2cb729d,1,train,krmob-inc-MOB-BEN-010
krmob-827e2fa87fc1a8f81137,"[정부24] 고객님, 미수령 정부지원 환급금이 조회되었습니다. 소멸 전 신청 바랍니다. 상세내용 확인: [URL]","[정부24] 고객님, 미수령 정부지원 환급금이 조회되었습니다. 소멸 전 신청 바랍니다. 상세내용 확인: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-012,inc-MOB-BEN-012:1,benign,정부지원금/환급금 사칭,verified_sender,SMS,iOS,CC BY-NC 4.0,1,0.154206,test,msg-9bfaccfa035f092b0775,1,train,krmob-inc-MOB-BEN-012
krmob-1a7de36d036bd0869c24,"[금융안내] 고객님, 원활한 금융 서비스 이용을 위해 필수 보안 업데이트가 필요합니다. 미업데이트 시 앱 이용이 제한될 수 있습니다. 업데이트 확인: [URL]","[금융안내] 고객님, 원활한 금융 서비스 이용을 위해 필수 보안 업데이트가 필요합니다. 미업데이트 시 앱 이용이 제한될 수 있습니다. 업데이트 확인: [url]",normal,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-013,inc-MOB-BEN-013:1,benign,모바일 금융앱 업데이트 사칭,verified_sender,SMS,iOS,CC BY-NC 4.0,1,0.157533,test,msg-0d52b431fcb3c89b5971,1,train,krmob-inc-MOB-BEN-013
krmob-ba2c6294d5eaadc7ff39,엄마 나 폰 고장나서 수리 맡겼어. 급하게 송금할 데가 있는데 대신 좀 해줘. 여기 링크로 확인해줘. [URL],엄마 나 폰 고장나서 수리 맡겼어. 급하게 송금할 데가 있는데 대신 좀 해줘. 여기 링크로 확인해줘. [url],smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-015,inc-MOB-BEN-015:1,benign_lookalike,가족/지인 사칭 긴급 송금,personal_number,SMS,Android,CC BY-NC 4.0,1,0.308842,train,msg-8da1861e43112a887a4b,1,train,krmob-inc-MOB-BEN-015
krmob-710022f3c3a0daf94fc1,"(광고) [모바일 안심결제] 고객님, 본인확인 인증번호 [8291]가 발송되었습니다. 본인이 아닐 경우 즉시 확인: [URL]","(광고) [모바일 안심결제] 고객님, 본인확인 인증번호 [8291]가 발송되었습니다. 본인이 아닐 경우 즉시 확인: [url]",smishing,1,1,DimensionV/KR-MOB-SMISHING-v2,synthetic,krmob-inc-MOB-BEN-015,inc-MOB-BEN-015:2,benign_lookalike,가족/지인 사칭 긴급 송금,short_code,SMS,iOS,CC BY-NC 4.0,1,0.276024,train,msg-ca141a713e5b8a3b8417,1,train,krmob-inc-MOB-BEN-015
